,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
632,PNCA,F41,720039.294,9121980.616,NA,0,0,0,0,NA,NA,NA,NA,NA
633,PNCA,F41B,730028.206,9056505.56,NA,NA,NA,NA,0,0,0,0,0,NA
634,PNCA,F42,713382.804,9098551.32,NA,0,0,0,0,NA,NA,NA,NA,NA
635,PNCA,F42B,732175.272,9056734.063,NA,NA,NA,NA,0,0,0,0,0,NA
636,PNCA,F43,727068.17,9112367.583,NA,0,0,0,0,NA,NA,NA,NA,NA
637,PNCA,F43B,727669.864,9054101.389,NA,NA,NA,NA,0,1,1,0,1,NA
638,PNCA,F44,726925.263,9114874.808,NA,0,0,0,0,NA,NA,NA,NA,NA
639,PNCA,F44B,732392.514,9049203.16,NA,NA,NA,NA,0,0,0,0,0,NA
640,PNCA,F45,729883.43,9112361.986,NA,0,0,0,0,NA,NA,NA,NA,NA
641,PNCA,F45B,727670.616,9064822.785,NA,NA,NA,NA,0,0,0,0,0,NA
642,PNCA,F46,727292.62,9109970.454,NA,0,0,0,0,NA,NA,NA,NA,NA
643,PNCA,F46B,729750.49,9064859.816,NA,NA,NA,NA,0,0,0,0,0,NA
644,PNCA,F47,717023.722,9075312.738,NA,0,0,0,0,NA,NA,NA,NA,NA
645,PNCA,F47B,722919.4,9049354.304,NA,NA,NA,NA,0,0,0,0,0,NA
646,PNCA,F48,715031.899,9075505.62,NA,0,0,0,0,0,0,0,0,NA
647,PNCA,F48B,725609.895,9049601.739,NA,NA,NA,NA,0,0,0,0,0,NA
648,PNCA,F49,714263.849,9092330.985,NA,0,0,0,0,NA,NA,NA,NA,NA
649,PNCA,F49B,721943.859,9063198.881,NA,NA,NA,NA,0,0,0,0,0,NA
650,PNCA,F50,723280.262,9091795.858,NA,0,0,0,0,NA,NA,NA,NA,NA
651,PNCA,F50B,721442.883,9072494.98,NA,NA,NA,NA,0,0,0,1,0,NA
652,PNCA,F51,721135.125,9090277.976,NA,0,0,0,0,NA,NA,NA,NA,NA
653,PNCA,F51B,723841.322,9072024.65,NA,NA,NA,NA,0,0,0,0,0,NA
654,PNCA,F52,727893.625,9087740.78,NA,0,0,0,0,NA,NA,NA,NA,NA
